MajorLineage,Taxon,Tissue,Pathway,MAmean (um^2),LTmean (um),IASmean (%),LDMCmean (g/g),LDMCse (g/g),dSLAmean (mm^2/mg),dSLAse (mm^2/mg),fSLAmean (mm^2/mg),fSLAse (mm^2/mg),CAMpheno,CAMphenoCat,Reference,Genus,Species,color
Acanthaceae,Acanthopsis disperma,leaf,C3,,,,,,5.21920668058455,,,,non-CAM,0,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",Acanthopsis,disperma,xkcd:light eggplant
Acanthaceae,Acanthus ilicifolius,leaf,C3,,,,,,2.10982658959538,,,,non-CAM,0,"eHALOPH - Halophytes Database (version 3.11) Tim Flowers, Joaquim Santos, Moritz Jahns, Brian Warburton and Peter Reed; http://www.sussex.ac.uk/affiliates/halophytes, accessed 2015",Acanthus,ilicifolius,xkcd:light eggplant
Acanthaceae,Avicennia alba,leaf,C3,,370.0,,,,6.57,0.0,,,non-CAM,0,"eHALOPH - Halophytes Database (version 3.11) Tim Flowers, Joaquim Santos, Moritz Jahns, Brian Warburton and Peter Reed; http://www.sussex.ac.uk/affiliates/halophytes, accessed 2015",Avicennia,alba,xkcd:light eggplant
Acanthaceae,Avicennia germinans,leaf,C3,,,,,,8.580402052212133,3.15348256947298,,,non-CAM,0,"eHALOPH - Halophytes Database (version 3.11) Tim Flowers, Joaquim Santos, Moritz Jahns, Brian Warburton and Peter Reed; http://www.sussex.ac.uk/affiliates/halophytes, accessed 2015",Avicennia,germinans,xkcd:light eggplant
Acanthaceae,Avicennia lanata,leaf,C3,,,,,,4.819999999999995,4.905125646631374e-15,,,non-CAM,0,"eHALOPH - Halophytes Database (version 3.11) Tim Flowers, Joaquim Santos, Moritz Jahns, Brian Warburton and Peter Reed; http://www.sussex.ac.uk/affiliates/halophytes, accessed 2015",Avicennia,lanata,xkcd:light eggplant
Acanthaceae,Avicennia marina,leaf,C3,,,,,,7.374399999999996,0.0780465245863002,,,non-CAM,0,"Kattge, J., W. Knorr, T. Raddatz, and C. Wirth. 2009. Quantifying photosynthetic capacity and its relationship to leaf nitrogen content for global-scale terrestrial biosphere models. Global Change Biology 15:976-991.",Avicennia,marina,xkcd:light eggplant
Acanthaceae,Avicennia officinalis,leaf,C3,,400.0,,,,7.9200000000000195,,,,non-CAM,0,"eHALOPH - Halophytes Database (version 3.11) Tim Flowers, Joaquim Santos, Moritz Jahns, Brian Warburton and Peter Reed; http://www.sussex.ac.uk/affiliates/halophytes, accessed 2015",Avicennia,officinalis,xkcd:light eggplant
Acanthaceae,Barleria cristata,leaf,C3,,,,0.273504273504274,,,,,,non-CAM,0,"Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819",Barleria,cristata,xkcd:light eggplant
Acanthaceae,Blepharis ciliaris,leaf,C4,440.0,380.0,0.331,,,,,,,non-CAM,0,Nelson et al. (2008),Blepharis,ciliaris,xkcd:light eggplant
Acanthaceae,Bravaisia integerrima,leaf,C3,,,,,,30.8939024390244,,,,non-CAM,0,"Smith, N. G. and Dukes, J. S. (2017), LCE: leaf carbon exchange data set for tropical, temperate, and boreal species of North and Central America. Ecology, 98: 2978. doi:10.1002/ecy.1992",Bravaisia,integerrima,xkcd:light eggplant
