Taxa included in RAD analysis,Genus,MajorLineage,d13,Leaf_thickness,WSP,PM,SM,IAS_area,IAS_perim,PM_cell_size,Pathway
C_amazonica_642c,Clusia,Clusiaceae,-32.34,339.5,43.51833333,78.9,206,58073.8,8953,657.3,C3+CAM
C_araracuare_509c,Clusia,Clusiaceae,-30.88,726.8,155.8157143,86.3,472.9,247255.7,19384.5,1278.2,C3+CAM
C_brachycarpa_492,Clusia,Clusiaceae,-31.2,352.7,54.47875,60.4,231.1,88176,13911.5,275.6,C3+CAM
C_coclensis_584c,Clusia,Clusiaceae,-30.88,615.6,177.406,104.9,305.3,132200.5,22685.5,1418.3,C3+CAM
C_columnaris_506,Clusia,Clusiaceae,-26.04,624.4,44.011,172.4,381.8,81953.4,11436.3,2520,C3+CAM
C_congestiflora_595c,Clusia,Clusiaceae,-29.89,770.4,105.587,143.8,537.9,213249.5,21630.6,1219,C3+CAM
C_coremandra_488,Clusia,Clusiaceae,-27.47,544.3,90.443,118.7,314.6,119903.5,17756.4,619.5,C3+CAM
C_crenata_491c,Clusia,Clusiaceae,-31.58,482.6,139.613,103.6,233.2,129902.2,12596.8,629.6,C3+CAM
C_cretosa_579,Clusia,Clusiaceae,-27.33,832.1,90.585,129.2,591.3,276642.5,31501.3,577.8,C3+CAM
C_cretosa_580,Clusia,Clusiaceae,-28.42,776.1,97.238,130.5,515.7,268915.8,30798.5,484.9,C3+CAM
C_cretosa_598c,Clusia,Clusiaceae,-29.59,711,208.626,136.7,352.9,162166.5,20957.3,851.3,C3+CAM
C_cretosa_602,Clusia,Clusiaceae,-24.06,646.2,141.165,173.5,323.5,165374.1,18398.8,1307.5,C3+CAM
C_cretosa_605c,Clusia,Clusiaceae,-28.02,746.9,216.063,145.3,360,146916.4,18902.5,898.7,C3+CAM
C_cretosa_606c,Clusia,Clusiaceae,-31.89,657.8,198.88,126.7,324.9,120758.4,17132,1137.4,C3+CAM
C_cretosa_615,Clusia,Clusiaceae,-28.69,1031,307.991,191.5,495.7,163888.8,16863,1471.4,C3+CAM
C_cretosa_616,Clusia,Clusiaceae,-30.57,969.4,277.102,144,510.1,215565.7,22692.7,1162,C3+CAM
C_croatii_569c,Clusia,Clusiaceae,-30.68,443.1,72.132,117,226.4,122136.4,17509.6,660.2,C3+CAM
C_croatii_608c,Clusia,Clusiaceae,-27.58,487.9,89.649,127.5,229.1,95033.2,14282.1,1127.4,C3+CAM
C_croatii_609,Clusia,Clusiaceae,-29.13,383,73.634,86.4,218.3,57641.1,9536.3,797.7,C3+CAM
C_cupulata_570c,Clusia,Clusiaceae,-31.71,910.1,163.886,166.9,550.1,315881.4,25220,1548.6,C3+CAM
C_cupulata_571,Clusia,Clusiaceae,-29.92,1036.4,159.081,188.5,645.5,278640.1,26119.2,1500.6,C3+CAM
C_cylindrica_577,Clusia,Clusiaceae,-23.41,811.4,136.267,171.4,449.7,95457.5,11036.6,1799.5,C3+CAM
C_cylindrica_590c,Clusia,Clusiaceae,-31.44,667.2,174.25,144.2,346.3,189613.5,20221.7,1158,C3+CAM
C_decussata_514c,Clusia,Clusiaceae,-26.32,515.3,114.541,101.1,280.5,124265.9,15381.7,1203.5,C3+CAM
C_decussata_515,Clusia,Clusiaceae,-27.11,704.3,104.618,221.3,356,150870.9,17521.6,2570.6,C3+CAM
C_divaricata_623c,Clusia,Clusiaceae,-31.33,614.4,61.741,141,387.1,230105.9,15990.5,1339.7,C3+CAM
C_divaricata_626c,Clusia,Clusiaceae,-28.57,560.8,43.653,116.1,380.3,152579.4,15034.9,697.5,C3+CAM
C_ducu_646,Clusia,Clusiaceae,-30.67,567.7,82.506,121.3,338.7,231571.7,18431.8,712.3,C3+CAM
C_flavida_503,Clusia,Clusiaceae,-30.33,321.2,39.002,107.6,166.9,87401,14485.9,797.1,C3+CAM
C_flavida_508,Clusia,Clusiaceae,-30.92,546.9,111.184,117.2,316.3,168828.9,18490.9,756.4,C3+CAM
C_flavida_512,Clusia,Clusiaceae,-31.33,287.7,37.853,68.6,162.6,77944,13299,561,C3+CAM
C_flavida_513c,Clusia,Clusiaceae,-29.85,359.7,57.576,96.3,186.3,79629.2,11282.3,684.8,C3+CAM
C_flaviflora_498,Clusia,Clusiaceae,-27.28,1583.1,291.822,323,920.6,484525.7,29408.6,6457.1,C3+CAM
C_flaviflora_499,Clusia,Clusiaceae,-27.48,1451,285.723,229.9,936.4,421510,23612.7,3860.1,C3+CAM
C_formosa_497c,Clusia,Clusiaceae,-28.68,414.8,56.039,63.8,274.2,119079.4,10488.9,966.1,C3+CAM
C_fructiangusta_576c,Clusia,Clusiaceae,-26.46,783.1,188.503,187.8,374.2,123404.9,14645,1074.3,C3+CAM
C_garcibarrigae_494,Clusia,Clusiaceae,-28.02,585.6,58.587,126.5,374.4,279086.8,18656.3,762.9,C3+CAM
C_garcibarrigae_502,Clusia,Clusiaceae,-29.71,494.5,53.382,88.6,325.2,130093.5,15023.5,395.3,C3+CAM
C_guabalensis_618c,Clusia,Clusiaceae,-31.03,435.6,72.732,112.6,233.2,78500.4,11355.8,1196.6,C3+CAM
C_guabalensis_620c,Clusia,Clusiaceae,-32.53,414.1,75.549,86.3,231.4,78724.2,11894.5,1463.3,C3+CAM
C_guatemalensis_530c,Clusia,Clusiaceae,-30.98,604.5,125.224,140.8,325.8,101753.3,9118.6,2031.1,C3+CAM
C_guaviarensis_639c,Clusia,Clusiaceae,-30.82,837.4,118.848,179.6,488.3,266419.2,18103.5,1128.1,C3+CAM
C_hammeliana_636,Clusia,Clusiaceae,-31.76,471.6,85.743,128.5,235.4,146892.6,12568.1,769.9,C3+CAM
C_haughtii_562,Clusia,Clusiaceae,-27.54,562.3,103.265,150.9,291.5,142865.1,14603.9,1185.1,C3+CAM
C_haughtii_563,Clusia,Clusiaceae,-28.91,424.9,85.19,89.9,245.6,103146.1,13302,864.2,C3+CAM
C_hirsuta_495,Clusia,Clusiaceae,-30.57,292.8,54.818,61.7,143.9,39788,6018.8,591.8,C3+CAM
C_hirsuta_496c,Clusia,Clusiaceae,-30.13,295.6,65.917,86.5,116,63567.8,9826.2,893.2,C3+CAM
C_lanceolata_169,Clusia,Clusiaceae,-31.6,399.5,37.66666667,151,197.1,87297.8,4622.5,1667.6,C3+CAM
C_latipes_625c,Clusia,Clusiaceae,-33.52,331.8,52.703,67.2,205.3,81292.7,13144.8,612.9,C3+CAM
C_lechleri_560c,Clusia,Clusiaceae,-27.83,661.9,121.398,154.7,387.7,195970.2,18253.8,1304,C3+CAM
C_lechleri_561,Clusia,Clusiaceae,-26.77,707.8,89.818,171.8,451.1,251956.4,21426.7,1181.7,C3+CAM
C_liesneri_582c,Clusia,Clusiaceae,-29.21,865.4,226.551,142.9,507.3,154018.5,15662.7,1118.4,C3+CAM
C_lineata_485c,Clusia,Clusiaceae,-29.17,634.9,111.146,118.5,385.3,211384.2,18674.8,732,C3+CAM
C_lineata_486,Clusia,Clusiaceae,-32.61,466.3,115.543,81,249.4,132595.6,16250.6,471.9,C3+CAM
C_lineata_487,Clusia,Clusiaceae,-31.04,587.5,147.374,75.8,350.3,164315.2,14811.3,482.8,C3+CAM
C_longipetiolata_578c,Clusia,Clusiaceae,-27.48,655.3,49.153,127.3,463.8,233640.3,22501.6,1525.4,C3+CAM
C_lundellii_527,Clusia,Clusiaceae,-27.43,579,113.224,116.4,335,62067.3,9303.4,1032.6,C3+CAM
C_lundellii_528c,Clusia,Clusiaceae,-24.98,1184.6,130.209,360.8,608.7,173288.5,17611.8,3627.5,C3+CAM
C_lundellii_529c,Clusia,Clusiaceae,-21.36,668.9,87.775,130.8,397.6,106754.6,13350.1,1445.5,C3+CAM
C_magnifolia_490,Clusia,Clusiaceae,-29.54,726.4,52.348,162.4,467.6,289063.2,23584.4,1510,C3+CAM
C_minor_521,Clusia,Clusiaceae,-27.41,730,103.169,249.1,368.1,148775.4,18802.7,2428.9,C3+CAM
C_minor_565c,Clusia,Clusiaceae,-30.27,750.1,91.166,266.1,376.3,118373.4,14827.8,2810.1,C3+CAM
C_minor_597c,Clusia,Clusiaceae,-29.4,832.1,115.208,310.1,406.1,158715.2,15921.3,3254.8,C3+CAM
C_multiflora_522,Clusia,Clusiaceae,-26.09,662.3,164.452,104.4,357,180092.2,22104.2,547.4,C3
C_multiflora_627,Clusia,Clusiaceae,-28.88,793.2,75.891,148.3,543.8,264150.4,27043.5,1215.9,C3
