Index,Cell area (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,3954.685,21,78699.801,28,113669.991,40,101063.523,95,1431.584
2,5610.567,22,2049.198,29,3620.716,41,6570.002,96,1422.165
3,8176.429,23,766.849,30,65.747,42,2053.853,97,1443.535
4,6127.812,24,710.412,31,608.010,43,9138.772,98,1384.538
5,3614.316,25,754.049,32,222.840,44,7904.715,,
6,4754.117,26,3895.338,33,81.456,45,702.266,,
7,5803.152,27,2642.663,34,78.547,46,809.323,,
8,5636.750,,,35,1913.050,47,319.424,,
9,5363.290,,,36,44.219,,,,
10,12554.103,,,37,711.576,,,,
11,3176.781,,,38,49.455,,,,
12,4478.330,,,39,33.164,,,,
13,5861.335,,,,,,,,
14,5242.852,,,,,,,,
15,6960.408,,,,,,,,
