Index,Cell area (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,4937.392,19,79574.870,34,46648.642,50,55118.312,61,830.210
2,2892.849,20,226.331,35,558.555,51,1132.819,62,763.637
3,2589.716,21,441.026,36,176.294,52,2063.744,63,650.663
4,3474.677,22,793.032,37,567.282,53,146.039,,
5,4187.416,23,2103.890,38,1192.747,54,246.695,,
6,5225.397,24,202.476,39,418.334,55,293.823,,
7,5899.736,25,686.557,40,542.264,56,3842.392,,
8,5761.843,26,411.934,41,349.679,57,99.493,,
9,4884.446,27,251.932,42,40.728,58,97.165,,
10,4383.492,28,250.768,43,80.292,59,173.967,,
11,4372.437,29,816.887,44,20.946,60,33.164,,
12,3676.571,30,209.458,45,254.841,,,,
13,3023.760,31,2462.878,46,367.133,,,,
14,2025.343,32,142.548,47,439.280,,,,
15,3115.689,33,763.940,48,58.183,,,,
16,5177.687,,,49,34.328,,,,
17,5033.394,,,,,,,,
18,3858.683,,,,,,,,
