Index,Cell area (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,11167.025,17,102736.279,33,83824.542,,,43,1771.285
2,8210.757,18,5220.161,34,5672.241,,,44,1915.757
3,5398.200,19,230.404,35,161.166,,,45,1930.774
4,7109.356,20,1163.656,36,3471.768,,,,
5,5044.449,21,3762.100,37,5472.674,,,,
6,4153.670,22,81.456,38,3993.667,,,,
7,6625.275,23,41.892,39,45.383,,,,
8,2718.882,24,553.900,40,107.638,,,,
9,9560.016,25,79.129,41,297.314,,,,
10,6194.141,26,211.785,42,1482.498,,,,
11,3982.031,27,161.748,,,,,,
12,8498.180,28,128.584,,,,,,
13,4179.852,29,51.783,,,,,,
14,4918.192,30,81.456,,,,,,
15,10042.351,31,59.928,,,,,,
16,9056.735,32,51.201,,,,,,
