Index,Cell area (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,4460.875,17,80462.158,25,56841.105,31,66529.123,,
2,7532.345,18,905.906,26,621.392,32,27.346,,
3,4004.722,19,2543.752,27,431.135,33,1622.718,,
4,4634.842,20,1783.885,28,1071.145,34,112.875,,
5,7222.813,21,2152.182,29,343.860,35,1711.738,,
6,6895.244,22,588.810,30,138.475,36,41.892,,
7,5586.712,23,101.238,,,37,155.930,,
8,8127.555,24,542.264,,,38,135.566,,
9,6951.099,,,,,39,96.002,,
10,7400.852,,,,,40,20.946,,
11,5328.963,,,,,41,1022.854,,
12,6503.092,,,,,42,94.256,,
13,7155.321,,,,,,,,
14,8733.238,,,,,,,,
15,7375.834,,,,,,,,
16,4927.501,,,,,,,,
