ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,11646.451,21,123800.780,29,125669.029,40,120138.173,50,979.929
2,11133.861,22,8579.636,30,101.820,41,2540.261,51,848.548
3,9996.969,23,2316.257,31,4235.126,42,535.282,52,808.529
4,8107.773,24,17477.531,32,7160.557,43,9219.646,,
5,8184.574,25,1861.850,33,6811.460,44,7133.211,,
6,10806.291,26,8047.263,34,3489.223,45,11089.060,,
7,9713.618,27,1822.867,35,3582.897,46,229.822,,
8,10574.724,28,3813.883,36,6062.066,47,12144.496,,
9,9150.991,,,37,1928.178,48,3230.309,,
10,8787.930,,,38,445.680,49,4816.954,,
11,10605.561,,,39,129.166,,,,
12,12767.634,,,,,,,,
13,14066.274,,,,,,,,
14,6770.732,,,,,,,,
15,12640.795,,,,,,,,
16,7811.623,,,,,,,,
17,7675.475,,,,,,,,
18,10195.954,,,,,,,,
19,9529.761,,,,,,,,
20,5252.743,,,,,,,,
