ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,10115.662,20,106233.647,36,88903.318,46,79107.662,54,2312.300
2,7055.828,21,3538.678,37,5003.721,47,5562.857,55,2078.236
3,9049.753,22,5168.378,38,6285.488,48,3155.253,56,1987.195
4,10367.593,23,5760.679,39,2510.588,49,4739.571,,
5,8850.186,24,3078.452,40,2156.836,50,6969.718,,
6,10193.627,25,2542.588,41,877.978,51,688.884,,
7,5584.967,26,526.554,42,148.948,52,472.444,,
8,7129.138,27,4416.075,43,7422.962,53,304.878,,
9,5609.404,28,1140.965,44,769.758,,,,
10,6059.157,29,3210.527,45,261.823,,,,
11,4879.791,30,1228.821,,,,,,
12,5387.145,31,236.804,,,,,,
13,4230.471,32,1901.996,,,,,,
14,5506.420,33,100.656,,,,,,
15,5353.399,34,983.871,,,,,,
16,3394.385,35,716.812,,,,,,
17,3570.678,,,,,,,,
18,6676.476,,,,,,,,
19,3894.175,,,,,,,,
