ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,3422.312,18,98551.772,27,103356.508,43,100680.681,55,2173.949
2,5345.254,19,17990.704,28,10574.142,44,10619.525,56,2415.730
3,5023.503,20,11143.170,29,4778.553,45,10151.153,57,2014.250
4,5672.823,21,2615.899,30,1743.739,46,7148.921,,
5,4880.373,22,2087.599,31,771.504,47,808.159,,
6,4499.276,23,380.516,32,219.931,48,7340.342,,
7,4932.738,24,887.870,33,8234.030,49,752.885,,
8,3947.703,25,1697.774,34,1118.855,50,5263.798,,
9,4889.683,26,1847.304,35,2222.583,51,492.226,,
10,10224.463,,,36,1943.887,52,115.784,,
11,8376.578,,,37,781.395,53,284.514,,
12,3762.682,,,38,76.801,54,1147.947,,
13,7712.712,,,39,316.514,,,,
14,11198.443,,,40,417.753,,,,
15,5164.887,,,41,344.442,,,,
16,4527.204,,,42,343.279,,,,
17,5797.916,,,,,,,,
