ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,10563.669,31,106028.262,31,106028.262,41,99217.965,56,1652.801
2,10636.398,32,13188.877,32,13188.877,42,144.875,57,1677.259
3,6932.481,33,1602.354,33,1602.354,43,249.604,58,1554.774
4,7368.852,34,317.096,34,317.096,44,743.576,,
5,10269.846,35,2093.417,35,2093.417,45,842.487,,
6,10315.229,36,2807.902,36,2807.902,46,753.467,,
7,16503.551,37,729.030,37,729.030,47,380.516,,
8,8121.737,38,151.857,38,151.857,48,1126.419,,
9,13991.800,39,34.328,39,34.328,49,82.620,,
10,8068.791,,,40,90.183,50,172.803,,
11,9934.713,,,,,51,739.503,,
12,10094.716,,,,,52,139.057,,
13,6998.809,,,,,53,162.330,,
14,10338.502,,,,,54,257.168,,
15,11951.329,,,,,55,152.439,,
16,9071.862,,,,,,,,
17,7612.056,,,,,,,,
18,12969.528,,,,,,,,
19,8663.419,,,,,,,,
20,10284.392,,,,,,,,
