Genus,Species,Subfamily,Pathway,Taxon,Reference,MajorLineage,LTmean (um),HydrenchymaVerticalThickness (um),ChlorenchymaDiameter (um),ChlorenchymaVertThickness (um),ChlorenchymaHydrenchymaRatio,IASmean (%),IASmean (um^2)
Acanthostachys,strobilacea,Bromelioideae,CAM,Acanthostachys strobilacea,Males (2018),Bromeliaceae,3079.47,2248.75,28.77,830.72,0.37,,14082
Aechmea,alba,Bromelioideae,CAM,Aechmea alba,Males (2018),Bromeliaceae,812.65,65.62,34.69,747.03,11.38,,13110
Aechmea,bromeliifolia,Bromelioideae,CAM,Aechmea bromeliifolia,Males (2018),Bromeliaceae,2370.44,597.95,47.89,1772.49,2.96,,92331
Aechmea,bromeliifolia,Bromelioideae,CAM,Aechmea bromeliifolia,Males (2018),Bromeliaceae,1437.42,145.75,50.20,1291.67,8.86,,68975
Aechmea,capixabae,Bromelioideae,CAM,Aechmea capixabae,Males (2018),Bromeliaceae,867.96,514.35,37.79,353.61,0.69,,7243
Aechmea,carvalhoi,Bromelioideae,CAM,Aechmea carvalhoi,Males (2018),Bromeliaceae,387.41,153.82,21.39,233.59,1.52,,6461
Aechmea,castanea,Bromelioideae,CAM,Aechmea castanea,Males (2018),Bromeliaceae,1850.56,264.37,39.69,1586.19,6,,115935
Aechmea,conifera,Bromelioideae,CAM,Aechmea conifera,Males (2018),Bromeliaceae,1537.57,,50.21,1537.57,,,67041
Aechmea,corymbosa,Bromelioideae,CAM,Aechmea corymbosa,Males (2018),Bromeliaceae,838.21,,61.00,838.21,,,
Aechmea,digitata,Bromelioideae,CAM,Aechmea digitata,Males (2018),Bromeliaceae,3657.24,1138.88,52.21,2518.36,2.21,,351516
Aechmea,fasciata,Bromelioideae,CAM,Aechmea fasciata,Males (2018),Bromeliaceae,584.08,215.74,41.10,368.34,1.71,9.01,6542
Aechmea,glandulosa,Bromelioideae,CAM,Aechmea glandulosa,Males (2018),Bromeliaceae,684.49,187.68,35.45,496.81,2.65,,13118
Aechmea,hostilis,Bromelioideae,CAM,Karawata hostilis,Males (2018),Bromeliaceae,1492.36,173.11,34.70,1319.25,7.62,,
Aechmea,lamarchei,Bromelioideae,CAM,Aechmea lamarchei,Males (2018),Bromeliaceae,921.07,112.46,38.01,808.61,7.19,,48800
Aechmea,leucolepis,Bromelioideae,CAM,Aechmea leucolepis,Males (2018),Bromeliaceae,1835.98,396.83,28.97,1439.15,3.63,,177634
Aechmea,maasii,Bromelioideae,CAM,Aechmea maasii,Males (2018),Bromeliaceae,1190.43,59.52,34.56,1130.91,19,,40354
Aechmea,perforata,Bromelioideae,CAM,Aechmea perforata,Males (2018),Bromeliaceae,2270.34,328.88,45.86,1941.46,5.9,,
Aechmea,racinae,Bromelioideae,CAM,Aechmea racinae,Males (2018),Bromeliaceae,317.54,,34.70,317.54,,,2008
Aechmea,rodriguesiana,Bromelioideae,CAM,Aechmea rodriguesiana,Males (2018),Bromeliaceae,2112.00,143.00,62.90,1969.00,13.77,,96736
Aechmea,rubens,Bromelioideae,CAM,Aechmea rubens,Males (2018),Bromeliaceae,1527.64,215.16,60.79,1312.48,6.1,,109072
Aechmea,saxicola,Bromelioideae,CAM,Karawata saxicola,Males (2018),Bromeliaceae,1855.14,265.81,51.23,1589.33,5.98,,
Aechmea,triangularis,Bromelioideae,CAM,Aechmea triangularis,Males (2018),Bromeliaceae,1523.39,129.44,42.37,1393.95,10.77,,54528
Aechmea,victoriana,Bromelioideae,CAM,Aechmea victoriana,Males (2018),Bromeliaceae,772.27,423.16,45.56,349.11,0.83,,14028
Aechmea,warasii,Bromelioideae,CAM,Aechmea warasii,Males (2018),Bromeliaceae,1394.47,728.69,48.59,665.78,0.91,,19598
Aechmea,weberbaueri,Bromelioideae,CAM,Aechmea weberbaueri,Males (2018),Bromeliaceae,774.86,297.21,23.42,477.65,1.61,,21121
