ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,387.804,16,7198.679,30,6924.501,30,5155.500,43,122.464
2,321.732,17,435.990,31,1162.991,31,100.581,44,124.148
3,291.642,18,75.541,32,105.210,32,11.784,45,117.414
4,273.756,19,108.366,33,226.201,33,14.098,,
5,369.708,20,1062.831,34,196.111,34,3.577,,
6,403.375,21,341.932,35,225.781,35,16.623,,
7,372.654,22,75.962,36,33.667,36,6.523,,
8,273.546,,,,,37,81.853,,
9,305.740,,,,,38,120.360,,
10,440.830,,,,,39,84.378,,
11,234.618,,,,,40,99.318,,
12,225.360,,,,,41,9.048,,
13,248.296,,,,,42,6.523,,
14,244.087,,,,,,,,
15,305.109,,,,,,,,
