ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,14642.453,16,115988.334,29,112223.417,43,94727.622,,
2,15884.154,17,9585.237,30,3145.311,44,3835.422,,
3,7958.666,18,168.380,31,57.233,45,27.372,,
4,2963.660,19,4841.557,32,421.366,46,318.513,,
5,5072.976,20,982.080,33,1052.584,47,53.085,,
6,8890.150,21,47.279,34,1678.827,48,27.372,,
7,4596.037,22,194.094,35,1016.918,49,82.946,,
8,4540.463,23,189.946,36,343.396,50,107.830,,
9,9921.168,24,198.241,37,121.931,51,168.380,,
10,4842.386,25,1281.515,38,31.519,52,111.977,,
11,2546.441,26,1162.903,39,40.644,53,134.372,,
12,8239.853,27,111.148,40,77.140,54,1245.019,,
13,6615.771,28,362.474,41,202.388,,,,
14,5911.560,,,42,879.227,,,,
15,4926.991,,,,,,,,
