ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,5633.058,16,68476.860,35,64809.091,52,96628.926,,
2,4077.686,17,2581.818,36,209.091,53,592.562,,
3,5404.959,18,2365.289,37,133.884,54,136.364,,
4,9502.479,19,127.273,38,214.050,55,222.314,,
5,7294.215,20,28.099,39,47.107,56,1976.860,,
6,4213.223,21,194.215,40,22.314,57,379.339,,
7,6299.174,22,78.512,41,9.917,58,463.636,,
8,5025.620,23,319.008,42,92.562,59,1023.140,,
9,1527.273,24,2416.529,43,85.124,60,210.744,,
10,3798.347,25,6.612,44,2614.050,61,771.901,,
11,2325.620,26,19.835,45,3413.223,62,838.017,,
12,2006.612,27,144.628,46,23.967,63,276.033,,
13,2397.521,28,27.273,47,42.975,64,49.587,,
14,3165.289,29,363.636,48,107.438,65,439.669,,
15,3217.355,30,1505.785,49,45.455,66,1267.769,,
,,31,274.380,50,60.331,,,,
,,32,154.545,51,48.760,,,,
,,33,382.645,,,,,,
,,34,16.529,,,,,,
