ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
,,1,319242,37,165435,,,,
,,2,1515,38,205,,,,
,,3,140,39,427,,,,
,,4,194,40,419,,,,
,,5,3604,41,742,,,,
,,6,1200,42,3455,,,,
,,7,396,43,1198,,,,
,,8,169,44,1117,,,,
,,9,448,45,113,,,,
,,10,122,46,135,,,,
,,11,191,47,123,,,,
,,12,319,48,84,,,,
,,13,102,49,397,,,,
,,14,68,50,1256,,,,
,,15,1390,51,296,,,,
,,16,724,52,113,,,,
,,17,63,53,237,,,,
,,18,108,54,68,,,,
,,19,61,55,3783,,,,
,,20,284,56,9394,,,,
,,21,329,,,,,,
,,22,3030,,,,,,
,,23,290,,,,,,
,,24,140,,,,,,
,,25,61,,,,,,
,,26,98,,,,,,
,,27,202,,,,,,
,,28,89,,,,,,
,,29,5610,,,,,,
,,30,1549,,,,,,
,,31,4924,,,,,,
,,32,8137,,,,,,
,,33,271,,,,,,
,,34,775,,,,,,
,,35,925,,,,,,
,,36,269,,,,,,
