ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,3285.124,16,58522.314,32,52480.165,36,56321.488,45,877.686
2,2742.975,17,1948.760,33,14618.182,37,95.868,46,814.050
3,1557.851,18,164.463,34,2443.802,38,46.281,47,741.322
4,3373.554,19,93.388,35,2642.149,39,5027.273,,
5,2730.579,20,3948.760,,,40,2976.033,,
6,2297.521,21,176.033,,,41,2976.033,,
7,3992.562,22,62.810,,,42,3934.711,,
8,4929.752,23,123.967,,,43,2022.314,,
9,3700.826,24,374.380,,,44,1318.182,,
10,2465.289,25,166.116,,,,,,
11,2395.041,26,5470.248,,,,,,
12,4200.826,27,539.669,,,,,,
13,3831.405,28,26.446,,,,,,
14,3916.529,29,52.893,,,,,,
15,3084.298,30,114.876,,,,,,
,,31,89.256,,,,,,
