ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,769.421,1,35465.028,9,34774.851,20,34941.503,,
2,924.793,2,4511.405,10,792.863,21,956.148,,
3,737.190,3,865.247,11,224.729,22,29.459,,
4,996.694,4,519.317,12,212.103,23,630.418,,
5,947.934,5,254.187,13,21.884,24,74.910,,
6,796.694,6,7.575,14,86.693,25,41.242,,
7,736.364,7,26.934,15,774.346,26,99.318,,
8,920.661,8,154.869,16,870.297,27,11.784,,
9,979.339,,,17,159.919,28,26.934,,
10,820.661,,,18,529.417,29,249.137,,
11,868.595,,,19,17.675,30,1079.034,,
12,1099.174,,,,,31,343.405,,
13,692.562,,,,,32,211.262,,
14,1272.727,,,,,33,132.144,,
15,871.074,,,,,34,211.262,,
16,832.231,,,,,35,826.530,,
17,551.240,,,,,36,30.300,,
18,602.479,,,,,37,202.003,,
19,509.091,,,,,38,54.709,,
20,814.050,,,,,,,,
