ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,508.375,16,20799.806,28,28815.335,39,29357.798,1,232.093
2,434.096,17,1372.570,29,67.545,40,840.207,2,229.358
3,599.276,18,438.305,30,9.890,41,487.964,3,199.689
4,387.804,19,20.832,31,78.066,42,773.714,,
5,582.232,20,6.102,32,30.090,43,180.120,,
6,603.064,21,12.625,33,314.788,44,115.731,,
7,385.910,22,17.886,34,62.705,45,54.288,,
8,538.044,23,90.691,35,32.194,46,153.817,,
9,827.161,24,56.182,36,8.627,47,54.288,,
10,608.955,25,188.115,37,56.393,48,19.779,,
11,687.653,26,114.048,38,9.679,49,205.370,,
12,608.955,27,127.515,,,50,28.828,,
13,543.725,,,,,51,34.719,,
14,543.304,,,,,52,405.058,,
15,428.205,,,,,,,,
