ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,460.889,1,42218.667,,,,,,
2,280.444,2,1078.222,,,,,,
3,393.333,3,5.778,,,,,,
4,324.444,4,36.000,,,,,,
5,294.222,5,288.889,,,,,,
6,367.556,6,52.889,,,,,,
7,394.667,7,37.778,,,,,,
8,334.667,8,2.667,,,,,,
9,395.556,9,5.333,,,,,,
10,234.667,10,12.444,,,,,,
11,444.444,11,3.556,,,,,,
12,256.444,12,3.556,,,,,,
13,199.111,13,30.667,,,,,,
14,1053.333,14,115.556,,,,,,
15,568.000,15,2.667,,,,,,
16,325.333,16,3.111,,,,,,
17,543.556,17,4.000,,,,,,
18,145.778,18,2.222,,,,,,
19,449.333,19,299.556,,,,,,
20,206.667,20,1466.667,,,,,,
21,366.667,21,458.667,,,,,,
22,228.889,22,40.444,,,,,,
,,23,33.778,,,,,,
,,24,14.667,,,,,,
,,25,95.556,,,,,,
,,26,65.333,,,,,,
,,27,136.444,,,,,,
,,28,326.222,,,,,,
,,29,290.667,,,,,,
,,30,458.222,,,,,,
,,31,6.667,,,,,,
,,32,210.667,,,,,,
,,33,562.667,,,,,,
,,34,53.333,,,,,,
,,35,28.889,,,,,,
