ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,520.889,16,21240.000,,,,,36,143.556
2,564.444,17,1373.333,,,,,37,136.889
3,403.111,18,217.778,,,,,38,143.556
4,444.000,19,70.667,,,,,,
5,892.889,20,151.111,,,,,,
6,408.889,21,188.889,,,,,,
7,649.778,22,148.000,,,,,,
8,508.000,23,46.222,,,,,,
9,562.667,24,248.000,,,,,,
10,441.778,25,83.556,,,,,,
11,440.889,26,24.444,,,,,,
12,462.667,27,46.667,,,,,,
13,293.333,28,16.889,,,,,,
14,936.889,29,91.556,,,,,,
15,317.333,30,2636.889,,,,,,
,,31,65.333,,,,,,
,,32,16.444,,,,,,
,,33,12.000,,,,,,
,,34,20.889,,,,,,
,,35,39.111,,,,,,
