ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,1792.562,16,60894.215,43,36866.942,57,52032.231,69,333.884
2,926.446,17,2502.479,44,1785.950,58,4344.628,70,319.008
3,914.050,18,1218.182,45,67.769,59,271.074,71,350.413
4,1279.339,19,59.504,46,17.355,60,5757.851,,
5,340.496,20,161.157,47,1179.339,61,5441.322,,
6,619.008,21,281.818,48,32.231,62,1105.785,,
7,552.893,22,178.512,49,296.694,63,438.843,,
8,499.174,23,46.281,50,165.289,64,93.388,,
9,603.306,24,133.884,51,385.950,65,258.678,,
10,589.256,25,40.496,52,513.223,66,332.231,,
11,710.744,26,29.752,53,2585.950,67,31.405,,
12,760.331,27,9.917,54,348.760,68,362.810,,
13,1152.066,28,15.702,55,350.413,,,,
14,328.099,29,110.744,56,219.008,,,,
15,795.868,30,1543.802,,,,,,
16,741.322,31,2980.165,,,,,,
17,436.364,32,113.223,,,,,,
18,1187.603,33,177.686,,,,,,
19,502.479,34,175.207,,,,,,
20,864.463,35,499.174,,,,,,
,,36,375.207,,,,,,
,,37,102.479,,,,,,
,,38,180.992,,,,,,
,,39,48.760,,,,,,
,,40,133.884,,,,,,
,,41,66.942,,,,,,
,,42,52.066,,,,,,
