ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,1454.423,1,47385.111,10,39121.497,21,33359.145,,
2,1021.589,2,2814.788,11,1591.827,22,1780.995,,
3,2108.198,3,866.510,12,3389.024,23,148.136,,
4,1286.718,4,2164.170,13,618.424,24,17.675,,
5,1210.336,5,406.321,14,72.174,25,72.805,,
6,1495.665,6,3550.417,15,295.009,26,95.110,,
7,1049.785,7,926.690,16,1138.162,27,133.827,,
8,802.752,8,566.451,17,103.947,28,21.042,,
9,1564.262,9,3415.327,18,244.929,29,676.079,,
10,1590.986,,,19,2519.990,30,521.421,,
11,848.413,,,20,50.711,31,21.042,,
12,1424.333,,,,,32,41.874,,
13,993.814,,,,,33,79.118,,
14,1044.525,,,,,34,262.604,,
15,693.755,,,,,35,531.521,,
16,1327.750,,,,,36,1423.070,,
17,1038.423,,,,,37,1014.014,,
18,1303.341,,,,,38,10.100,,
19,1165.306,,,,,39,53.868,,
20,1434.012,,,,,40,68.386,,
