ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,1075.877,1,17537.455,15,21079.244,30,19294.251,,
2,848.624,2,255.239,16,810.117,31,543.304,,
3,775.187,3,700.067,17,284.277,32,203.897,,
4,956.148,4,65.861,18,3645.526,33,1880.313,,
5,1130.587,5,168.757,19,1140.266,34,420.209,,
6,987.080,6,41.453,20,60.601,35,421.261,,
7,830.738,7,134.038,21,13.256,36,49.028,,
8,701.751,8,131.723,22,11.363,37,354.347,,
9,1121.959,9,244.087,23,449.668,38,124.779,,
10,969.405,10,225.991,24,98.056,39,65.230,,
11,698.594,11,68.597,25,142.665,40,4.629,,
12,700.488,12,156.132,26,21.463,41,77.645,,
13,699.015,13,82.485,27,91.954,42,47.976,,
14,1021.800,14,52.815,28,9.890,43,10.731,,
15,658.615,,,29,5.050,44,140.350,,
,,,,,,45,370.760,,
