ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,3210.009,1,131726.504,15,171053.679,37,126986.971,,
2,4602.672,2,7751.301,16,442.102,38,6340.390,,
3,8983.879,3,420.536,17,3591.561,39,841.902,,
4,7635.177,4,109.489,18,13096.340,40,2735.558,,
5,4112.461,5,4078.454,19,1731.083,41,3720.956,,
6,7618.588,6,567.350,20,859.320,42,335.931,,
7,5252.969,7,1512.935,21,577.304,43,115.295,,
8,10217.285,8,1075.809,22,276.210,44,787.157,,
9,7533.983,9,629.560,23,2140.006,45,4782.665,,
10,4589.401,10,3583.266,24,1216.817,46,449.567,,
,,11,3167.707,25,219.807,47,114.465,,
,,12,3271.389,26,5292.783,48,119.442,,
,,13,233.078,27,2495.015,,,,
,,14,66.357,28,598.040,,,,
,,,,29,166.721,,,,
,,,,30,853.514,,,,
,,,,31,187.458,,,,
,,,,32,557.397,,,,
,,,,33,179.993,,,,
,,,,34,719.142,,,,
,,,,35,111.977,,,,
,,,,36,467.815,,,,
