ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,457.243,16,14284.151,22,19186.516,31,16214.334,,
2,413.896,17,762.983,23,1270.095,32,575.709,,
3,561.401,18,260.921,24,14.940,33,138.246,,
4,785.287,19,265.760,25,942.050,34,404.006,,
5,782.973,20,134.458,26,115.731,35,140.140,,
6,1032.110,21,240.089,27,147.715,36,250.610,,
7,602.853,,,28,10.100,37,13.256,,
8,549.617,,,29,18.096,38,366.552,,
9,597.382,,,30,264.708,39,78.066,,
10,663.244,,,,,,,,
11,633.785,,,,,,,,
12,589.807,,,,,,,,
13,541.411,,,,,,,,
14,663.875,,,,,,,,
15,535.519,,,,,,,,
