ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,13609.917,16,147282.645,25,154535.537,29,149401.653,,
2,9608.264,17,4714.050,26,7414.876,30,272.727,,
3,9884.298,18,855.372,27,17593.388,31,4246.281,,
4,9542.975,19,11934.711,28,13055.372,32,6448.760,,
5,10385.124,20,161.983,,,33,249.587,,
6,9030.579,21,2727.273,,,34,111.570,,
7,10664.463,22,502.479,,,35,557.025,,
8,4173.554,23,920.661,,,36,32.231,,
9,12467.769,24,666.116,,,37,250.413,,
10,11452.066,,,,,,,,
11,6672.727,,,,,,,,
12,11123.967,,,,,,,,
13,15783.471,,,,,,,,
14,11750.413,,,,,,,,
15,16614.050,,,,,,,,
