ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um),index,Cell area (um^2)
16,30720.125,26,59127.527,,,1,638.377,1,1478.151
17,4294.738,27,2783.888,,,2,627.229,2,1535.375
18,98.098,28,4477.556,,,3,578.181,3,811.534
19,44.590,29,112.961,,,,,4,1612.663
20,122.622,30,133.769,,,,,5,1369.649
21,485.285,31,426.576,,,,,6,1508.621
22,91.409,32,7103.894,,,,,7,844.976
23,22.295,33,1672.860,,,,,8,870.244
24,16.350,34,154.578,,,,,9,874.703
25,13.377,35,70.600,,,,,10,823.424
,,36,47.562,,,,,11,344.084
,,,,,,,,12,654.727
,,,,,,,,13,1063.466
,,,,,,,,14,896.998
,,,,,,,,15,1307.224
