ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um),index,Cell area (um^2)
16,72979.340,25,49201.100,33,51594.828,37,941.734,1,3174.049
17,102.556,26,5390.161,34,5711.950,38,972.469,2,3498.068
18,673.306,27,5434.750,35,396.106,39,960.421,3,1523.484
19,248.216,28,177.616,36,5180.589,,,4,1486.326
20,1404.578,29,285.375,,,,,5,2039.239
21,278.686,30,61.683,,,,,6,1413.496
22,887.337,31,81.005,,,,,7,1637.931
23,406.510,32,78.032,,,,,8,2712.545
24,245.987,,,,,,,9,1539.834
,,,,,,,,10,1741.231
,,,,,,,,11,1316.141
,,,,,,,,12,3056.629
,,,,,,,,13,4039.834
,,,,,,,,14,2539.388
,,,,,,,,15,3256.540
