ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um),index,Cell area (um^2)
11,53428.954,17,51996.136,26,87953.329,35,687.426,1,2765.309
12,20.809,18,4518.430,27,1192.776,36,751.338,2,2487.366
13,73.573,19,34.185,28,619.055,37,705.262,3,2121.730
14,208.086,20,607.907,29,219.976,,,4,1968.639
15,50.535,21,879.905,30,309.899,,,5,1884.661
16,124.108,22,212.545,31,2068.222,,,6,2828.478
,,23,114.447,32,152.348,,,7,2175.238
,,24,35.672,33,23.781,,,8,2387.039
,,25,17.836,34,53.508,,,9,2729.637
,,,,,,,,10,1847.503
