ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um),index,Cell area (um^2)
11,88777.015,21,76957.396,37,88836.725,43,1642.028,1,3863.245
12,3275.100,22,4827.564,38,12345.069,44,1591.275,2,2418.260
13,2669.043,23,203.014,39,203.014,45,1603.217,3,907.594
14,11177.736,24,346.319,40,197.043,,,4,3000.434
15,116.435,25,883.710,41,14467.764,,,5,3433.332
16,635.913,26,113.449,42,14.928,,,6,3848.318
17,170.174,27,134.348,,,,,7,4406.607
18,435.884,28,417.971,,,,,8,4546.926
19,107.478,29,1785.333,,,,,9,4654.404
20,134.348,30,1609.188,,,,,10,5078.346
,,31,247.797,,,,,,
,,32,101.507,,,,,,
,,33,41.797,,,,,,
,,34,1973.420,,,,,,
,,35,50.754,,,,,,
,,36,104.493,,,,,,
