ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um),index,Cell area (um^2)
16,91293.103,21,90772.889,,,30,645.065,1,5411.712
17,4064.358,22,98.098,,,31,669.590,2,8982.610
18,5296.522,23,164.982,,,32,625.000,3,9605.380
19,758.026,24,628.716,,,,,4,8614.001
20,222.206,25,1299.792,,,,,5,6675.832
,,26,699.316,,,,,6,4649.970
,,27,49.049,,,,,7,8154.727
,,28,6227.705,,,,,8,1668.401
,,29,700.059,,,,,9,4467.895
,,,,,,,,10,6166.023
,,,,,,,,11,5504.608
,,,,,,,,12,3247.622
,,,,,,,,13,4591.260
,,,,,,,,14,4997.027
,,,,,,,,15,2738.555
