ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um),index,Cell area (um^2)
16,60703.681,25,72832.774,,,41,491.228,1,621.010
17,5946.894,26,2129.869,,,42,494.867,2,580.984
18,188.001,27,4512.022,,,43,515.486,3,1011.566
19,60.645,28,1870.306,,,,,4,591.900
20,2473.122,29,24.258,,,,,5,781.114
21,139.485,30,134.633,,,,,6,640.416
22,3085.641,31,207.407,,,,,7,497.293
23,72.775,32,67.923,,,,,8,465.757
24,12.129,33,35.174,,,,,9,679.229
,,34,215.898,,,,,10,760.494
,,35,44.878,,,,,11,462.118
,,36,90.968,,,,,12,976.392
,,37,13.342,,,,,13,964.263
,,38,18.194,,,,,14,994.586
,,39,12.129,,,,,15,709.552
,,40,10.916,,,,,,
