ind-cell-size,Cell size (um^2),ind-IAS1,IAS1 (%),ind-IAS2,IAS2 (%),ind-IAS3,IAS3 (%),ind-thickness,thickness (um)
1,749.578,21,23219.002,30,21465.226,41,12826.028,47,730.229
2,698.636,22,1048.251,31,1363.190,42,96.746,48,716.002
3,1101.322,23,60.723,32,640.169,43,335.008,49,687.480
4,525.190,24,702.437,33,33.449,44,87.998,,
5,486.377,25,180.112,34,6.175,45,44.256,,
6,551.874,26,771.394,35,30.362,46,39.110,,
7,775.049,27,385.954,36,250.613,,,,
8,488.802,28,49.402,37,46.829,,,,
9,884.211,29,55.063,38,27.789,,,,
10,681.655,,,39,313.909,,,,
11,1107.386,,,40,5.146,,,,
12,600.390,,,,,,,,
13,748.365,,,,,,,,
14,628.287,,,,,,,,
15,1331.774,,,,,,,,
16,759.281,,,,,,,,
17,767.772,,,,,,,,
18,685.294,,,,,,,,
19,1010.353,,,,,,,,
20,1243.232,,,,,,,,
