tipLabel,MajorLineage,Genus,Species,Taxon,Pathway,MA,LT,IAS,CAMpheno,CAMphenoCat
Calandrinia_creethae_39,Montiaceae,Parakeelya,creethae,Parakeelya creethae,C3+CAM,,,,mCAM,1
Calandrinia_stagnensis_101,Montiaceae,Parakeelya,stagnensis,Parakeelya stagnensis,C3+CAM,,,,mCAM,1
Calandrinia_mirabilis_85,Montiaceae,Parakeelya,mirabilis,Parakeelya mirabilis,C3+CAM,,,,mCAM,1
Calandrinia_quadrivalvis_26,Montiaceae,Parakeelya,quadrivalvis,Parakeelya quadrivalvis,C3+CAM,6468.85552631579,2125.9103333333333,0.2960444236193792,mCAM,1
Calandrinia_pleiopetala_74,Montiaceae,Parakeelya,pleiopetala,Parakeelya pleiopetala,C3+CAM,6427.563,,0.07624738125460594,mCAM,1
Calandrinia_uniflora_92,Montiaceae,Parakeelya,uniflora,Parakeelya uniflora,C3+CAM,,,,mCAM,1
Calandrinia_ptychosperma_5,Montiaceae,Parakeelya,ptychosperma,Parakeelya ptychosperma,C3+CAM,,,,mCAM,1
Calandrinia_papillata_30,Montiaceae,Parakeelya,papillata,Parakeelya papillata,C3+CAM,,,,mCAM,1
Calandrinia_arenicola_90,Montiaceae,Parakeelya,arenicola,Parakeelya arenicola,C3,,,,non-CAM,0
Calandrinia_pentavalvis_178,Montiaceae,Parakeelya,pentavalvis,Parakeelya pentavalvis,C3+CAM,6678.6945,1872.6053333333336,0.18131209741006143,mCAM,1
Calandrinia_porifera_36,Montiaceae,Parakeelya,porifera,Parakeelya porifera,C3+CAM,,,,mCAM,1
Calandrinia_tumida_93,Montiaceae,Parakeelya,tumida,Parakeelya tumida,C3,5559.895636363636,1303.2876666666668,,non-CAM,0
Calandrinia_gracilis_176,Montiaceae,Parakeelya,gracilis,Parakeelya gracilis,C3+CAM,,,,mCAM,1
Calandrinia_spergularina_104,Montiaceae,Parakeelya,spergularina,Parakeelya spergularina,C3+CAM,10034.583999999999,1628.278,0.15183046289870164,mCAM,1
Calandrinia_sp_Prince_Regent_156,Montiaceae,Parakeelya,sp Prince Regent,Parakeelya sp Prince Regent,C3+CAM,,,,mCAM,1
Calandrinia_strophiolata_155,Montiaceae,Parakeelya,strophiolata,Parakeelya strophiolata,C3+CAM,,,,mCAM,1
Calandrinia_granulifera_50D,Montiaceae,Parakeelya,granulifera,Parakeelya granulifera,C3,,,,non-CAM,0
Calandrinia_sp_Kenwick_48,Montiaceae,Parakeelya,sp Kenwick,Parakeelya sp Kenwick,C3+CAM,,,,mCAM,1
Calandrinia_sp_Warrider_129,Montiaceae,Parakeelya,sp Warrider,Parakeelya sp Warrider,C3+CAM,,,,mCAM,1
Calandrinia_polypetala_152,Montiaceae,Parakeelya,polypetala,Parakeelya polypetala,C3+CAM,,,,mCAM,1
Calandrinia_painwaning_6,Montiaceae,Parakeelya,painwaning,Parakeelya painwaning,C3+CAM,,,,mCAM,1
Calandrinia_sp_Black_Angular_Seeds_24,Montiaceae,Parakeelya,sp Black Angular Seeds,Parakeelya sp Black Angular Seeds,C3+CAM,,,,mCAM,1
Calandrinia_sp_Needilup_31B,Montiaceae,Parakeelya,sp Needilup,Parakeelya sp Needilup,C3+CAM,,,,mCAM,1
Calandrinia_pumila_75,Montiaceae,Parakeelya,pumila,Parakeelya pumila,C3+CAM,9770.986699999998,879.002,0.3496283897316114,mCAM,1
Calandrinia_pickeringii_165,Montiaceae,Parakeelya,pickeringii,Parakeelya pickeringii,C3+CAM,,,,mCAM,1
Calandrinia_corrigioloides_98,Montiaceae,Parakeelya,corrigioloides,Parakeelya corrigioloides,C3+CAM,,,,mCAM,1
Calandrinia_sp_Truncate_Capsules_118,Montiaceae,Parakeelya,sp Truncate Capsules,Parakeelya sp Truncate Capsules,C3+CAM,,,,mCAM,1
Calandrinia_brevipedata_9,Montiaceae,Parakeelya,brevipedata,Parakeelya brevipedata,C3+CAM,7948.507399999999,1327.9725,,mCAM,1
Calandrinia_disperma_22,Montiaceae,Parakeelya,disperma,Parakeelya disperma,C3+CAM,,,,mCAM,1
Calandrinia_linliflora_109,Montiaceae,Parakeelya,linliflora,Parakeelya linliflora,C3+CAM,4140.029333333334,748.1700000000001,0.12651096164750605,mCAM,1
Calandrinia_sp_Bungalbin_157,Montiaceae,Parakeelya,sp Bungalbin,Parakeelya sp Bungalbin,C3+CAM,,,,mCAM,1
Calandrinia_sp_Pink_Hills_27,Montiaceae,Parakeelya,sp Pink Hills,Parakeelya sp Pink Hills,C3+CAM,,,,mCAM,1
Calandrinia_sp_Meckering_31,Montiaceae,Parakeelya,sp Meckering,Parakeelya sp Meckering,C3+CAM,,,,mCAM,1
Calandrinia_eremaea_perennial_7,Montiaceae,Parakeelya,eremaea,Parakeelya eremaea,C3+CAM,,,,mCAM,1
Calandrinia_sp_Goongarrie_37,Montiaceae,Parakeelya,sp Goongarrie,Parakeelya sp Goongarrie,C3+CAM,,,,mCAM,1
Calandrinia_sculpta_11,Montiaceae,Parakeelya,sculpta,Parakeelya sculpta,C3+CAM,,,,mCAM,1
Calandrinia_polyandra_138,Montiaceae,Parakeelya,polyandra,Parakeelya polyandra,C3+CAM,,,,mCAM,1
Calandrinia_remota_154,Montiaceae,Parakeelya,remota,Parakeelya remota,C3+CAM,,,,mCAM,1
Calandrinia_hortiorum_191,Montiaceae,Parakeelya,hortiorum,Parakeelya hortiorum,C3+CAM,,,,mCAM,1
Calandrinia_tholliformis_29,Montiaceae,Parakeelya,tholliformis,Parakeelya tholliformis,C3+CAM,,,,mCAM,1
Calandrinia_operata_32,Montiaceae,Parakeelya,operata,Parakeelya operata,C3+CAM,,,,mCAM,1
Calandrinia_umbelliformis_20,Montiaceae,Parakeelya,umbelliformis,Parakeelya umbelliformis,C3+CAM,,,,mCAM,1
Calandrinia_vernicosa_23,Montiaceae,Parakeelya,vernicosa,Parakeelya vernicosa,C3+CAM,,,,mCAM,1
Calandrinia_rubrisabulosa_34,Montiaceae,Parakeelya,rubrisabulosa,Parakeelya rubrisabulosa,C3+CAM,,,,mCAM,1
Calandrinia_oraria_37,Montiaceae,Parakeelya,oraria,Parakeelya oraria,C3+CAM,,,,mCAM,1
Calandrinia_butcherensis_58,Montiaceae,Parakeelya,butcherensis,Parakeelya butcherensis,C3+CAM,,,,mCAM,1
Calandrinia_calyptrata_185,Montiaceae,Parakeelya,calyptrata,Parakeelya calyptrata,C3+CAM,,,,mCAM,1
Calandrinia_flava_79,Montiaceae,Parakeelya,flava,Parakeelya flava,C3+CAM,15824.965099999998,2121.2046666666665,0.25420850925686245,mCAM,1
Calandrinia_reticulata_53,Montiaceae,Parakeelya,reticulata,Parakeelya reticulata,C3+CAM,,,,mCAM,1
Calandrinia_balonensis_57,Montiaceae,Parakeelya,balonensis,Parakeelya balonensis,C3+CAM,,,,mCAM,1
Calandrinia_primuliflora_160,Montiaceae,Parakeelya,primuliflora,Parakeelya primuliflora,C3+CAM,,,,mCAM,1
Calandrinia_kalanniensis_168,Montiaceae,Parakeelya,kalanniensis,Parakeelya kalanniensis,C3+CAM,5820.995133333334,1420.4555,0.15830308527055434,mCAM,1
Calandrinia_lehmannii_35,Montiaceae,Parakeelya,lehmannii,Parakeelya lehmannii,C3+CAM,,,,mCAM,1
Calandrinia_translucens_99,Montiaceae,Parakeelya,translucens,Parakeelya translucens,C3+CAM,,,,mCAM,1
Calandrinia_schistorhiza_31,Montiaceae,Parakeelya,schistorhiza,Parakeelya schistorhiza,C3+CAM,5845.7970588235285,2201.3096666666665,0.3861088629848359,mCAM,1
Calandrinia_crispisepala_21,Montiaceae,Parakeelya,crispisepala,Parakeelya crispisepala,C3+CAM,,,,mCAM,1
Lewisia_nevadensis,Montiaceae,Lewisia,nevadensis,Lewisia nevadensis,C3+CAM,,,,mCAM,1
Lewisia_pygmaea_8,Montiaceae,Lewisia,pygmaea,Lewisia pygmaea,C3+CAM,,,,mCAM,1
Lewisia_brachycalyx_16,Montiaceae,Lewisia,brachycalyx,Lewisia brachycalyx,C3+CAM,,,,mCAM,1
Lewisia_triphylla_107,Montiaceae,Lewisia,triphylla,Lewisia triphylla,C3+CAM,,,,mCAM,1
Lewisia_glandulosa_22,Montiaceae,Lewisia,glandulosa,Lewisia glandulosa,C3+CAM,,,,mCAM,1
Lewisia_kelloggii_23,Montiaceae,Lewisia,kelloggii,Lewisia kelloggii,C3+CAM,,,,mCAM,1
Lewisia_leeana_24,Montiaceae,Lewisia,leeana,Lewisia leeana,C3+CAM,,,,mCAM,1
