leaf_thickness_mm,LTmean (um),FMDMmean,LDMCmean (g/g),dSLAmean (cm^2/g),dC13,dH+,dH+SIG,Pathway,Genus,Species,Taxon,Reference,MajorLineage,Tissue
1.23,1230.00,8.4,0.119,80,-26.4,0.5,NS,C3,Brenesia,johnsonii,Acianthera johnsonii,Silvera et al. (2005),Orchidaceae,leaf
0.55,550.00,7.1,0.141,197,-28.1,5.1,NS,C3,Acineta,sp.,Acineta sp.,Silvera et al. (2005),Orchidaceae,leaf
0.63,630.00,5.8,0.172,79,-21,5.7,SIG,C3+CAM,Specklinia,barbulata,Anathallis barbulata,Silvera et al. (2005),Orchidaceae,leaf
0.32,320.00,3.5,0.286,119,-26.5,0.2,NS,C3,Arundina,graminifolia,Arundina graminifolia,Silvera et al. (2005),Orchidaceae,leaf
0.57,570.00,5.3,0.189,147,-27.9,5.0,SIG,C3+CAM,Aspasia,epidendroides,Aspasia epidendroides,Silvera et al. (2005),Orchidaceae,leaf
0.3,300.0,,,,-31.3,,,C3,Aspasia,lunata,Aspasia lunata,Silvera et al. (2005),Orchidaceae,leaf
0.25,250.00,4.5,0.222,149,-27.9,3.2,NS,C3,Aspasia,principissa,Aspasia principissa,Silvera et al. (2005),Orchidaceae,leaf
5.01,5010.00,16.9,0.059,35,-15.1,23.9,SIG,CAM,Brassavola,acaulis,Brassavola acaulis,Silvera et al. (2005),Orchidaceae,leaf
3.81,3810.00,12.5,0.080,37,-13.8,56.7,SIG,CAM,Brassavola,nodosa,Brassavola nodosa,Silvera et al. (2005),Orchidaceae,leaf
0.61,610.00,8.1,0.123,191,-28.2,1.2,NS,C3,Ada,allenii,Brassia allenii,Silvera et al. (2005),Orchidaceae,leaf
0.47,470.00,5.3,0.189,86,-25.2,5.7,SIG,C3+CAM,Brassia,arcuigera,Brassia arcuigera,Silvera et al. (2005),Orchidaceae,leaf
0.45,450.00,5.5,0.182,133,-27,22.1,SIG,C3+CAM,Brassia,caudata,Brassia caudata,Silvera et al. (2005),Orchidaceae,leaf
0.48,480.00,6.5,0.154,157,-21.3,10.7,SIG,C3+CAM,Brassia,verrucosa,Brassia verrucosa,Silvera et al. (2005),Orchidaceae,leaf
1.96,1960.00,7.7,0.130,68,-15.1,25.6,SIG,CAM,Bulbophyllum,macranthum,Bulbophyllum macranthum,Silvera et al. (2005),Orchidaceae,leaf
1.77,1770.00,11.8,0.085,99,-15.2,13.5,SIG,CAM,Bulbophyllum,putidum,Bulbophyllum putidum,Silvera et al. (2005),Orchidaceae,leaf
0.18,180.00,5.9,0.169,321,-25.3,2.5,NS,C3,Catasetum,bicolor,Catasetum bicolor,Silvera et al. (2005),Orchidaceae,leaf
0.24,240.00,5.0,0.200,294,-26.8,3.6,NS,C3,Catasetum,maculatum,Catasetum maculatum,Silvera et al. (2005),Orchidaceae,leaf
0.26,260.00,,,,-24.4,,,C3,Catasetum,sp.,Catasetum sp.,Silvera et al. (2005),Orchidaceae,leaf
0.22,220.00,6.0,0.167,299,-23.8,-0.3,-0.3 NS,C3,Catasetum,viridiflavum,Catasetum viridiflavum,Silvera et al. (2005),Orchidaceae,leaf
2.15,2150.00,9.9,0.101,55,-16.2,106.4,SIG,CAM,Cattleya,dowiana,Cattleya dowiana,Silvera et al. (2005),Orchidaceae,leaf
1.59,1590.00,7.6,0.132,74,-15.3,148.0,SIG,CAM,Chelyorchis,ampliatum,Chelyorchis ampliatum,Silvera et al. (2005),Orchidaceae,leaf
0.43,430.00,6.1,0.164,203,-30.3,3.2,NS,C3,Cischweinfia,dasyandra,Cischweinfia dasyandra,Silvera et al. (2005),Orchidaceae,leaf
0.47,470.00,7.1,0.141,158,-27.3,6.8,SIG,C3+CAM,Cischweinfia,pusilla,Cischweinfia pusilla,Silvera et al. (2005),Orchidaceae,leaf
0.29,290.00,5.8,0.172,278,-24.8,0.8,NS,C3,Clowesia,warscewiczii,Clowesia warczewitzii,Silvera et al. (2005),Orchidaceae,leaf
0.49,490.00,5.9,0.169,172,-24.3,-0.2,-0.2 NS,C3,Cochleanthes,aromatica,Cochleanthes aromatica,Silvera et al. (2005),Orchidaceae,leaf
0.19,190.00,3.7,0.270,186,-28.2,15.0,NS,C3,Coeliopsis,hyacinthosma,Coeliopsis hyacinthosma,Silvera et al. (2005),Orchidaceae,leaf
0.32,320.00,5.5,0.182,183,-25.8,11.8,SIG,C3+CAM,Coelogyne,ovalis,Coelogyne ovalis,Silvera et al. (2005),Orchidaceae,leaf
0.25,250.00,5.8,0.172,224,-26.3,1.7,SIG,C3+CAM,Coryanthes,hunteriana,Coryanthes hunteriana,Silvera et al. (2005),Orchidaceae,leaf
0.26,260.00,,,,-24.2,,,C3+CAM,Coryanthes,sp.,Coryanthes sp.,Silvera et al. (2005),Orchidaceae,leaf
0.47,470.00,5.4,0.185,266,-24.6,0.2,NS,C3,Cycnoches,aureum,Cycnoches aureum,Silvera et al. (2005),Orchidaceae,leaf
0.19,190.00,,,,-24.1,,,C3,Cycnoches,guttulatum,Cycnoches guttulatum,Silvera et al. (2005),Orchidaceae,leaf
0.31,310.00,4.8,0.208,277,-28.2,0.6,NS,C3,Cycnoches,warscewiczii,Cycnoches warszewiczii,Silvera et al. (2005),Orchidaceae,leaf
0.62,620.00,5.9,0.169,131,-26.7,0.4,NS,C3,Cyrtochiloides,ochmatochila,Cyrtochiloides ochmatochila,Silvera et al. (2005),Orchidaceae,leaf
0.23,230.00,5.5,0.182,294,-30.6,8.7,NS,C3,Dichaea,dammeriana,Dichaea dammeriana,Silvera et al. (2005),Orchidaceae,leaf
0.29,290.00,6.2,0.161,224,-25.8,0.4,NS,C3,Dichaea,fragrantissima,Dichaea fragrantissima,Silvera et al. (2005),Orchidaceae,leaf
0.29,290.00,,,,-28.8,,,C3,Dichaea,sp.,Dichaea sp.,Silvera et al. (2005),Orchidaceae,leaf
0.39,390.00,5.3,0.189,168,-26.3,14.7,SIG,C3+CAM,Dimerandra,emarginata,Dimerandra emarginata,Silvera et al. (2005),Orchidaceae,leaf
0.54,540.00,9.6,0.104,114,-27.4,-1.6,NS,C3,Draconia,tuerckheimii,Draconia tuerckheimii,Silvera et al. (2005),Orchidaceae,leaf
0.36,360.00,,,,-24.8,,,,Dressleria,sp.,Dressleria sp.,Silvera et al. (2005),Orchidaceae,leaf
1.7,1700.0,8.8,0.114,77,-27,2.4,SIG,C3+CAM,Brenesia,lappiformis,Echinosepala lappiformis,Silvera et al. (2005),Orchidaceae,leaf
1.14,1140.00,,,,-16.1,,,CAM,Encyclia,alata,Encyclia alata,Silvera et al. (2005),Orchidaceae,leaf
