Taxon,SLAd_mm2mg-1,SLAd_mm2mg-1_SE,Family,Genus,Pathway,Reference,Species
Abarema adenophora,12.415722222222199,,Fabaceae,Abarema,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",adenophora
Abarema mataybifolia,17.387829383886302,,Fabaceae,Abarema,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",mataybifolia
Abelia biflora,20.2795331440275,,Caprifoliaceae,Abelia,C3,"Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819",biflora
Abies alba,6.020966927730491,1.6943378438781485,Pinaceae,Abies,C3,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",alba
Abies amabilis,151.92714285714285,141.36354643451833,Pinaceae,Abies,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",amabilis
Abies balsamea,16.09605655821875,0.9857553399135099,Pinaceae,Abies,C3,"Kattge, J., W. Knorr, T. Raddatz, and C. Wirth. 2009. Quantifying photosynthetic capacity and its relationship to leaf nitrogen content for global-scale terrestrial biosphere models. Global Change Biology 15:976-991.",balsamea
Abies concolor,7.0468740932695395,0.10772606547223448,Pinaceae,Abies,C3,"Laughlin, D.C., P.Z. Fulé, D.W. Huffman, J. Crouse, and E. Laliberte. 2011. Climatic constraints on trait-based forest assembly. Journal of Ecology 99:1489-1499.",concolor
Abies fraseri,5.553278957999024,0.07293612771159617,Pinaceae,Abies,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",fraseri
Abies grandis,11.725000000000001,1.6679023752406297,Pinaceae,Abies,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",grandis
Abies lasiocarpa,20.19493088466923,1.3939474346846954,Pinaceae,Abies,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",lasiocarpa
Abies procera,17.259999999999998,4.0699999999999985,Pinaceae,Abies,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",procera
Abies sachalinensis,7.1208404512,0.26002318580799055,Pinaceae,Abies,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",sachalinensis
Abrus precatorius,48.86841425985997,10.415036625929734,Fabaceae,Abrus,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",precatorius
Abuta rufescens,5.636350905987619,0.16093982595136272,Menispermaceae,Abuta,C3,"Kattge, J., W. Knorr, T. Raddatz, and C. Wirth. 2009. Quantifying photosynthetic capacity and its relationship to leaf nitrogen content for global-scale terrestrial biosphere models. Global Change Biology 15:976-991.",rufescens
