child,parent
Honkenya,Caryophyllaceae
Minuartiella,Caryophyllaceae
Saxofridericia,Rapateaceae
Bactria,Polygonaceae
Petroana,Caryophyllaceae
Balkana,Caryophyllaceae
Nubelaria,Caryophyllaceae
Schizotechium,Caryophyllaceae
Yazdana,Caryophyllaceae
Mcneillia,Caryophyllaceae
Erythranthe,Phrymaceae
Shivparvatia,Caryophyllaceae
Mononeuria,Caryophyllaceae
Pseudocherleria,Caryophyllaceae
Leuenbergeria,Cactaceae
Eokochia,Amaranthaceae
Chenopodiastrum,Amaranthaceae
Thinipyrum,Poaceae
Khoonmengia,Poaceae
Chamaedendron,Cyperaceae
Anthelepis,Cyperaceae
Ammothryon,Cyperaceae
Cambajuva,Poaceae
Trigonochloa,Poaceae
Lophachme,Poaceae
Pogoneura,Poaceae
Triplasiella,Poaceae
Micrachne,Poaceae
Orthacanthus,Poaceae
Stipellula,Poaceae
Ochalndra,Poaceae
Kalinia,Poaceae
Zaqiqah,Poaceae
Tridentopsis,Poaceae
Parianella,Poaceae
Kuruna,Poaceae
Neotrinia,Poaceae
Microdacoides,Cyperaceae
Saxofridericia,Rapateaceae
Adenochloa,Poaceae
Lasiorhachis,Poaceae
Kellochloa,Poaceae
Tibisia,Poaceae
Laegaardia,Poaceae
Sibirotrisetum,Poaceae
Bergbambos,Poaceae
Oreojuncus,Juncaceae
Pseudaraeococcus,Bromeliaceae
Mesoamerantha,Bromeliaceae
Hoplocryptanthus,Bromeliaceae
Rokautskyia,Bromeliaceae
Forzzaea,Bromeliaceae
Tripogonella,Poaceae
Trisetopsis,Poaceae
Trisetopsotrichon,Poaceae
Tzveleviochloa,Poaceae
Hildaea,Poaceae
Oedochloa,Poaceae
Rugoloa,Poaceae
Greeneochloa,Poaceae
Paramochloa,Poaceae
Acrospelion,Poaceae
Karawata,Bromeliaceae
Rhodoscirpus,Cyperaceae
Calliscirpus,Cyperaceae
Dupontiopsis,Poaceae
Zizkaea,Bromeliaceae
Lemeltonia,Bromeliaceae
Jagrantia,Bromeliaceae
Josemania,Bromeliaceae
Stigmatodon,Bromeliaceae
Goudaea,Bromeliaceae
Waltillia,Bromeliaceae
Lutheria,Bromeliaceae
