Model,LTmean (um),MAmean (um^2),LDMCmean (g/g),dSLAmean (mm^2/mg),IASmean (%)
DART,0.33636363636363636,0.2779220779220779,0.13896103896103895,0.10649350649350649,0.14025974025974025
DART+ROS,0.31189710610932475,0.24008574490889603,0.16613076098606644,0.15434083601286175,0.12754555198285103
DART+RUS,0.32838589981447125,0.24675324675324675,0.12244897959183673,0.20037105751391465,0.10204081632653061
DART+Iter.,0.18403547671840353,0.2039911308203991,0.19290465631929046,0.1541019955654102,0.26496674057649666
DART+Knn,0.21420118343195266,0.24023668639053256,0.20591715976331362,0.1467455621301775,0.19289940828402366
DART+Med.,0.34112792297111416,0.3328748280605227,0.10866574965612105,0.08803301237964237,0.12929848693259974
DART+MDS1,0.3550065019505852,0.270481144343303,0.12093628088426528,0.11053315994798439,0.14304291287386217
DART+MDS2,0.33636363636363636,0.2779220779220779,0.13896103896103895,0.10649350649350649,0.14025974025974025
DART+MDS5,0.33636363636363636,0.2779220779220779,0.13896103896103895,0.10649350649350649,0.14025974025974025
DART+MDS10,0.33636363636363636,0.2779220779220779,0.13896103896103895,0.10649350649350649,0.14025974025974025
gbtree,0.3223767383059418,0.2604298356510746,0.14917825537294563,0.12389380530973451,0.14412136536030343
gbtree+ROS,0.32575757575757575,0.2305194805194805,0.17207792207792208,0.14935064935064934,0.12229437229437229
gbtree+RUS,0.33152173913043476,0.24094202898550723,0.1286231884057971,0.1793478260869565,0.11956521739130435
gbtree+Iter.,0.1853932584269663,0.2292134831460674,0.19550561797752808,0.14269662921348314,0.24719101123595505
gbtree+Knn,0.21420118343195266,0.22603550295857988,0.20355029585798817,0.1502958579881657,0.20591715976331362
gbtree+Med.,0.3150684931506849,0.31643835616438354,0.13835616438356163,0.1136986301369863,0.11643835616438356
gbtree+MDS1,0.3282636248415716,0.26869455006337134,0.14068441064638784,0.11913814955640051,0.1432192648922687
gbtree+MDS2,0.3223767383059418,0.2604298356510746,0.14917825537294563,0.12389380530973451,0.14412136536030343
gbtree+MDS5,0.3223767383059418,0.2604298356510746,0.14917825537294563,0.12389380530973451,0.14412136536030343
gbtree+MDS10,0.3223767383059418,0.2604298356510746,0.14917825537294563,0.12389380530973451,0.14412136536030343
