"","gen","sig1","sig2","a1","a2","r","logL","accept_rate"
"1",0,0.00402884036402095,0.00199357373727292,0.85,2.97347838476927,0,-16.5713275464089,0
"2",1000,0.00503596377115831,0.00215206146767899,0.754186839740722,3.06730888330279,0.568486484762781,-16.7707605658972,0.239
"3",2000,0.00698899043025257,0.00192018768924106,1.07748520387084,2.74151028537697,0.411976020540781,-17.9967846003743,0.228
"4",3000,0.00462128176487138,0.00255265938971494,0.848403095566296,2.77385890346975,0.437111474866402,-14.4026420500981,0.234
"5",4000,0.00394005480175989,0.00252597815616562,0.830726999217169,2.77357994285446,0.18180633714504,-14.8717717954347,0.256
"6",5000,0.00414424889804142,0.00171678542313506,0.804672538096622,2.77458395574712,0.210976764961512,-13.9744327940983,0.284
"7",6000,0.00312362233274067,0.0022236819409151,0.448362988448414,2.82545989780762,0.372693827816521,-15.4740539924749,0.154
"8",7000,0.00379483830149865,0.00212733036862668,0.65730533802609,2.84373541485915,0.235775032171822,-13.6095632395748,0.266
"9",8000,0.0052248496460706,0.00140990906423571,0.773371563518625,2.84712359475317,-0.0793939109026356,-20.3704210338892,0.276
"10",9000,0.00293479459181839,0.00289694692863661,0.740371608285279,2.84712456667687,0.340720628440726,-15.7506910746008,0.126
"11",10000,0.00363982924819453,0.00233023754016881,0.599617088036103,2.84712465766222,0.377961606035572,-13.8003597350323,0.305
"12",11000,0.00532653284261969,0.00227932245623096,0.638603450639622,2.84712395651754,0.298821989894241,-14.4783421986187,0.275
"13",12000,0.00388191864192991,0.00190036090302612,0.668881279817394,2.85236104749371,0.361528422136287,-13.1775586120742,0.229
"14",13000,0.00485216921154328,0.00202794691094753,0.364252887061632,2.81013312471455,0.556811414854344,-16.5840785553513,0.214
"15",14000,0.00388787844366831,0.00179755715225032,0.366950643163963,2.94516778055689,0.172744324135182,-16.4354099175539,0.205
"16",15000,0.00518410808472794,0.00118129844693553,0.367961456180335,2.91534474154049,0.20547025359819,-19.3231238412632,0.214
