"","gen","sig1","sig2","a1","a2","r","logL","accept_rate"
"1",0,0.00529524239337816,0.00412071293216964,1.14705882352941,3.5312070051174,0,-46.238213887152,0
"2",1000,0.00627297334079691,0.0038077723392062,0.420790747938033,3.27176802307789,0.356584736562905,-39.6057724964427,0.203
"3",2000,0.00554078864824171,0.00444844318135979,0.388800788887811,3.35571201902847,0.311736825305124,-39.363397569459,0.246
"4",3000,0.0071966233927797,0.00389997542162321,0.369472099585946,3.01089036902905,0.30658859306802,-41.0921925779914,0.246
"5",4000,0.0041297641375932,0.00460765071444453,0.710545612066874,3.24013280647678,0.26367164147743,-40.4015759833549,0.212
"6",5000,0.00620625106039413,0.00385884980517394,0.619655524065129,3.27541374541962,-0.151923293628573,-46.0912108662239,0.252
"7",6000,0.00618227034917292,0.00471765558581958,0.259317044530597,2.85687473197973,0.330669949480984,-41.1699168875274,0.239
"8",7000,0.00625649514328613,0.00518367596287046,0.553567609430369,3.20650650594584,0.288142599989158,-40.1943698077066,0.167
"9",8000,0.00478279404251041,0.00555478930350013,0.552754811061018,3.20603814388787,0.182490661876078,-41.0444805049992,0.253
"10",9000,0.00480962832782664,0.00333432165502908,0.552754783829319,3.20232762912584,0.268499645625134,-39.4819266842697,0.332
"11",10000,0.00721197493980115,0.00381639757914747,0.552754787364382,3.16609017358418,0.423958706776357,-41.0031407745642,0.134
"12",11000,0.00462179399865385,0.00503342837099087,0.552755460408647,3.00725062901763,0.310053471661903,-40.3797130212453,0.226
"13",12000,0.00618668433099585,0.00424854769193905,0.553535134281198,3.62430982143797,0.367623637040495,-41.1509189320421,0.206
"14",13000,0.00516623988678917,0.00595749661595299,0.747080188900481,3.62668493640663,0.347985051156428,-42.2124364464244,0.251
"15",14000,0.0051275929173027,0.00440518334139697,0.563087447045575,3.62598030332321,0.285920923954936,-40.5537854156743,0.31
"16",15000,0.00693299873308597,0.00546960381025619,1.04302919154143,3.26234790213513,0.286983274005377,-43.2587626989993,0.171
"17",16000,0.00515197920640004,0.00318058282656246,1.0402579242747,3.0216577430256,0.341437717972067,-44.7096205260451,0.256
"18",17000,0.00480617034598104,0.00320715647101987,0.0735154986783813,3.31164504760101,0.296826436329197,-42.6738351196294,0.223
"19",18000,0.00488844611804691,0.0034273839978805,0.830769640406309,3.57918952632906,0.406363175034016,-42.1720367297475,0.23
"20",19000,0.00689971631555069,0.00331037165823087,0.829214592375468,3.3645353704016,0.281706504313601,-41.4868285550774,0.197
"21",20000,0.00454591324321184,0.00308150456895835,0.829571325057615,3.35196833490916,0.289382106374243,-41.3347199886659,0.265
"22",21000,0.00651063357626002,0.00399366345857961,0.829610016842039,3.26754812048646,0.381948370821706,-40.3140232501121,0.271
"23",22000,0.00445486247120911,0.00368140601339206,0.830561901946195,3.28304787890805,0.305907399187426,-40.2651426816767,0.203
"24",23000,0.00507734017230898,0.00310165797704286,0.832008093818326,3.40243961344727,0.22833905316829,-41.0902858504945,0.252
"25",24000,0.00590695505590559,0.00392405751683834,0.412545926721521,3.19417778732926,0.221912013367598,-39.387629220808,0.193
"26",25000,0.00537079058937929,0.00496367172610927,0.900312124255064,3.19437984323896,0.373193252698958,-40.9504303744115,0.217
"27",26000,0.00417081168000136,0.00290206623503514,0.899690712996467,3.19436516968608,0.285061386767915,-43.5248446435267,0.338
"28",27000,0.00649703398740613,0.00537514164186168,0.898941944283622,3.18963927870245,0.421373397419461,-41.899976879244,0.117
"29",28000,0.0051026875034524,0.00510025577512182,0.898942416754485,3.18516406189857,0.360063038545575,-41.2107491535937,0.327
"30",29000,0.00631718001657047,0.00519818820965441,0.898937695790736,3.22330303657122,0.260764627819631,-41.5125247003927,0.206
"31",30000,0.00550533610223471,0.00420849220645118,0.895641390659198,3.47643093215159,0.27126186440869,-40.195159352957,0.166
"32",31000,0.00678481065723905,0.00509312280822598,0.83247344456041,3.54453294858093,0.356293386696642,-41.483200853358,0.24
"33",32000,0.006234254348968,0.00369079378102622,0.693929640591123,3.44129630898595,0.387776389958851,-41.8799679234658,0.228
"34",33000,0.00458508518317157,0.00455392564109588,0.694113426955886,3.65169740176405,0.293627647209505,-41.0562302181043,0.223
